,FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
248,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-15,,H,F,
249,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-16,68.36,A,F,
250,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-17,68.31,A,F,
251,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-18,68.28,A,F,
252,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-19,68.38,A,F,
253,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-20,68.42,A,F,
254,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-21,,H,F,
255,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-22,,H,F,
256,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-23,68.35,A,F,
257,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-24,68.39,A,F,
258,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-25,68.39,A,F,
259,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-26,68.41,A,F,
260,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-27,68.57,A,F,
261,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-28,,H,F,
262,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-29,,H,F,
263,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-30,68.63,A,F,
264,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-31,68.65,A,F,
265,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-01,68.65,A,F,
266,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-02,68.56,A,F,
267,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-03,68.59,A,F,
268,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-04,,H,F,
269,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-05,,H,F,
270,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-06,68.7,A,F,
271,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-07,68.59,A,F,
272,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-08,68.73,A,F,
273,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-09,68.83,A,F,
274,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-10,68.74,A,F,
275,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-11,,H,F,
276,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-12,,H,F,
277,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-13,69.01,A,F,
278,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-14,68.97,A,F,
279,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-15,69.18,A,F,
280,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-16,69.11,A,F,
281,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-17,69.15,A,F,
282,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-18,,H,F,
283,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-19,,H,F,
284,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1997-01-20,69.44,A,F,
